2025-11-14T10:36:52+01:00
Running ./build/bench
Run on (8 X 4200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 2.24, 1.65, 1.46
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/graham_circle/256",15945,44092.1,44005.3,ns,,,,,
"bench/graham_circle/512",7725,91543.8,91363,ns,,,,,
"bench/graham_circle/1024",3749,188659,188228,ns,,,,,
"bench/graham_circle/2048",1813,387960,387035,ns,,,,,
"bench/graham_circle/4096",872,805390,803478,ns,,,,,
"bench/graham_circle/8192",423,1.67915e+06,1.67464e+06,ns,,,,,
"bench/graham_circle/16384",202,3.45813e+06,3.44903e+06,ns,,,,,
"bench/graham_circle/32768",101,7.00284e+06,6.98679e+06,ns,,,,,
"bench/graham_circle/65536",49,1.44374e+07,1.43994e+07,ns,,,,,
"bench/graham_circle/131072",24,2.94052e+07,2.93254e+07,ns,,,,,
"bench/graham_circle/262144",12,6.05857e+07,6.04355e+07,ns,,,,,
"bench/graham_circle/524288",6,1.2429e+08,1.23955e+08,ns,,,,,
