2025-11-13T13:04:24+01:00
Running ./build/bench
Run on (8 X 4200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.48, 1.54, 1.46
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/graham_parabola/256",18408,37423.3,37290.6,ns,,,,,
"bench/graham_parabola/512",9136,79811.5,79274.8,ns,,,,,
"bench/graham_parabola/1024",4398,160587,159711,ns,,,,,
"bench/graham_parabola/2048",2185,330545,328959,ns,,,,,
"bench/graham_parabola/4096",1029,679675,676264,ns,,,,,
"bench/graham_parabola/8192",472,1.49718e+06,1.49049e+06,ns,,,,,
"bench/graham_parabola/16384",222,3.18256e+06,3.1667e+06,ns,,,,,
"bench/graham_parabola/32768",109,6.44102e+06,6.41063e+06,ns,,,,,
"bench/graham_parabola/65536",52,1.37041e+07,1.36378e+07,ns,,,,,
"bench/graham_parabola/131072",25,2.81253e+07,2.79925e+07,ns,,,,,
"bench/graham_parabola/262144",12,5.88552e+07,5.8608e+07,ns,,,,,
"bench/graham_parabola/524288",6,1.27136e+08,1.25988e+08,ns,,,,,
