2025-11-16T11:51:10+01:00
Running ./build/bench
Run on (8 X 4200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.44, 1.31, 1.10
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/graham_parabola/256",118553,6151.36,6133.66,ns,,,,,
"bench/graham_parabola/512",54155,12988.3,12961.8,ns,,,,,
"bench/graham_parabola/1024",25278,27866.9,27796.6,ns,,,,,
"bench/graham_parabola/2048",11739,60486.5,60233.2,ns,,,,,
"bench/graham_parabola/4096",5368,130788,130231,ns,,,,,
"bench/graham_parabola/8192",2335,300208,299439,ns,,,,,
"bench/graham_parabola/16384",1013,702162,699912,ns,,,,,
"bench/graham_parabola/32768",487,1.43591e+06,1.42975e+06,ns,,,,,
"bench/graham_parabola/65536",227,3.07878e+06,3.07001e+06,ns,,,,,
"bench/graham_parabola/131072",106,6.58378e+06,6.56396e+06,ns,,,,,
"bench/graham_parabola/262144",50,1.39527e+07,1.388e+07,ns,,,,,
"bench/graham_parabola/524288",24,2.95991e+07,2.94489e+07,ns,,,,,
