2025-11-13T13:04:36+01:00
Running ./build/bench
Run on (8 X 4200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.56, 1.56, 1.46
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/graham_square/256",13844,52530.8,52301,ns,,,,,
"bench/graham_square/512",6317,114659,114095,ns,,,,,
"bench/graham_square/1024",2936,225589,224580,ns,,,,,
"bench/graham_square/2048",1542,456337,454414,ns,,,,,
"bench/graham_square/4096",731,951593,947760,ns,,,,,
"bench/graham_square/8192",359,1.96494e+06,1.95646e+06,ns,,,,,
"bench/graham_square/16384",171,4.08848e+06,4.06831e+06,ns,,,,,
"bench/graham_square/32768",85,8.37271e+06,8.33502e+06,ns,,,,,
"bench/graham_square/65536",42,1.70024e+07,1.69317e+07,ns,,,,,
"bench/graham_square/131072",20,3.49073e+07,3.47469e+07,ns,,,,,
"bench/graham_square/262144",10,7.12077e+07,7.092e+07,ns,,,,,
"bench/graham_square/524288",5,1.45798e+08,1.45146e+08,ns,,,,,
