2025-11-16T11:51:22+01:00
Running ./build/bench
Run on (8 X 4200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.84, 1.41, 1.14
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/graham_square/256",98983,7319.17,7298.83,ns,,,,,
"bench/graham_square/512",42762,16228.2,16187.5,ns,,,,,
"bench/graham_square/1024",17560,39808.6,39710,ns,,,,,
"bench/graham_square/2048",7236,96792.7,96525.5,ns,,,,,
"bench/graham_square/4096",3198,219059,218479,ns,,,,,
"bench/graham_square/8192",1508,462039,460728,ns,,,,,
"bench/graham_square/16384",719,977466,974646,ns,,,,,
"bench/graham_square/32768",350,2.00584e+06,2.00022e+06,ns,,,,,
"bench/graham_square/65536",170,4.12745e+06,4.11619e+06,ns,,,,,
"bench/graham_square/131072",82,8.58352e+06,8.55914e+06,ns,,,,,
"bench/graham_square/262144",39,1.79699e+07,1.79175e+07,ns,,,,,
"bench/graham_square/524288",19,3.71737e+07,3.70867e+07,ns,,,,,
