2025-11-17T17:23:45+01:00
Running ./build/bench_opt
Run on (8 X 1887.3 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.87, 1.52, 1.51
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/grahamdeque_circle/256",113501,6266.23,6243.07,ns,,,,,
"bench/grahamdeque_circle/512",51748,13573.4,13511.9,ns,,,,,
"bench/grahamdeque_circle/1024",20374,34509.6,34344.9,ns,,,,,
"bench/grahamdeque_circle/2048",5701,123061,122684,ns,,,,,
"bench/grahamdeque_circle/4096",2245,311370,310495,ns,,,,,
"bench/grahamdeque_circle/8192",992,703043,701201,ns,,,,,
"bench/grahamdeque_circle/16384",472,1.48835e+06,1.48367e+06,ns,,,,,
"bench/grahamdeque_circle/32768",223,3.16166e+06,3.14861e+06,ns,,,,,
"bench/grahamdeque_circle/65536",106,6.65898e+06,6.63967e+06,ns,,,,,
"bench/grahamdeque_circle/131072",50,1.38087e+07,1.37521e+07,ns,,,,,
"bench/grahamdeque_circle/262144",24,2.91069e+07,2.89854e+07,ns,,,,,
"bench/grahamdeque_circle/524288",12,5.89605e+07,5.88013e+07,ns,,,,,
