2025-11-17T17:10:01+01:00
Running ./build/bench
Run on (8 X 556.207 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 2.22, 1.81, 1.52
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/grahamdeque_square/256",11470,66321.1,66104.5,ns,,,,,
"bench/grahamdeque_square/512",4998,139559,139093,ns,,,,,
"bench/grahamdeque_square/1024",2172,297260,296333,ns,,,,,
"bench/grahamdeque_square/2048",1124,651939,649744,ns,,,,,
"bench/grahamdeque_square/4096",551,1.29382e+06,1.28983e+06,ns,,,,,
"bench/grahamdeque_square/8192",262,2.68939e+06,2.6815e+06,ns,,,,,
"bench/grahamdeque_square/16384",127,5.56601e+06,5.54372e+06,ns,,,,,
"bench/grahamdeque_square/32768",61,1.15558e+07,1.15065e+07,ns,,,,,
"bench/grahamdeque_square/65536",30,2.35896e+07,2.34756e+07,ns,,,,,
"bench/grahamdeque_square/131072",14,4.82282e+07,4.80466e+07,ns,,,,,
"bench/grahamdeque_square/262144",7,9.9603e+07,9.92474e+07,ns,,,,,
"bench/grahamdeque_square/524288",3,2.04137e+08,2.03336e+08,ns,,,,,
