2025-11-17T17:08:25+01:00
Running ./build/bench
Run on (8 X 3799.57 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 2.09, 1.65, 1.44
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/grahamlist_parabola/256",7292,102550,102227,ns,,,,,
"bench/grahamlist_parabola/512",3285,211347,209697,ns,,,,,
"bench/grahamlist_parabola/1024",1578,442194,440742,ns,,,,,
"bench/grahamlist_parabola/2048",771,931764,922452,ns,,,,,
"bench/grahamlist_parabola/4096",365,1.89096e+06,1.87811e+06,ns,,,,,
"bench/grahamlist_parabola/8192",186,3.80591e+06,3.78206e+06,ns,,,,,
"bench/grahamlist_parabola/16384",90,7.81076e+06,7.76597e+06,ns,,,,,
"bench/grahamlist_parabola/32768",45,1.57871e+07,1.5684e+07,ns,,,,,
"bench/grahamlist_parabola/65536",21,3.17826e+07,3.16002e+07,ns,,,,,
"bench/grahamlist_parabola/131072",11,6.46323e+07,6.42681e+07,ns,,,,,
"bench/grahamlist_parabola/262144",5,1.30462e+08,1.29829e+08,ns,,,,,
"bench/grahamlist_parabola/524288",3,2.63002e+08,2.61541e+08,ns,,,,,
