2025-11-17T19:23:03+01:00
Running ./build/bench_opt
Run on (8 X 3798.75 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 2.12, 1.59, 1.32
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/grahamlist_square/256",49859,14068.6,14031.2,ns,,,,,
"bench/grahamlist_square/512",22892,30677.1,30595.5,ns,,,,,
"bench/grahamlist_square/1024",10105,69725.7,69337.5,ns,,,,,
"bench/grahamlist_square/2048",4197,167826,167371,ns,,,,,
"bench/grahamlist_square/4096",1716,410822,409779,ns,,,,,
"bench/grahamlist_square/8192",769,905462,902999,ns,,,,,
"bench/grahamlist_square/16384",367,1.90475e+06,1.89941e+06,ns,,,,,
"bench/grahamlist_square/32768",178,3.91537e+06,3.90482e+06,ns,,,,,
"bench/grahamlist_square/65536",86,8.14156e+06,8.11774e+06,ns,,,,,
"bench/grahamlist_square/131072",42,1.67349e+07,1.66888e+07,ns,,,,,
"bench/grahamlist_square/262144",20,3.4704e+07,3.46166e+07,ns,,,,,
"bench/grahamlist_square/524288",10,7.13639e+07,7.11998e+07,ns,,,,,
