2025-11-17T19:21:05+01:00
Running ./build/bench_opt
Run on (8 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.45, 1.24, 1.18
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/grahamvec_circle/256",109314,7170.53,7134.73,ns,,,,,
"bench/grahamvec_circle/512",46159,14999,14950.3,ns,,,,,
"bench/grahamvec_circle/1024",18586,38828.9,38705.6,ns,,,,,
"bench/grahamvec_circle/2048",5513,129781,129345,ns,,,,,
"bench/grahamvec_circle/4096",2101,343489,342393,ns,,,,,
"bench/grahamvec_circle/8192",928,754567,752064,ns,,,,,
"bench/grahamvec_circle/16384",445,1.60493e+06,1.59947e+06,ns,,,,,
"bench/grahamvec_circle/32768",216,3.26659e+06,3.25504e+06,ns,,,,,
"bench/grahamvec_circle/65536",101,6.90087e+06,6.88141e+06,ns,,,,,
"bench/grahamvec_circle/131072",49,1.40617e+07,1.40217e+07,ns,,,,,
"bench/grahamvec_circle/262144",24,2.96917e+07,2.96111e+07,ns,,,,,
"bench/grahamvec_circle/524288",11,6.19844e+07,6.1816e+07,ns,,,,,
