2025-11-15T14:21:18+01:00
Running ./build/bench
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 1.65, 1.70, 2.33
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/grahamvec_parabola/256",18592,37520.6,37512.2,ns,,,,,
"bench/grahamvec_parabola/512",9616,72261.1,72256.2,ns,,,,,
"bench/grahamvec_parabola/1024",4991,141406,141392,ns,,,,,
"bench/grahamvec_parabola/2048",2493,282192,282164,ns,,,,,
"bench/grahamvec_parabola/4096",1221,566729,566656,ns,,,,,
"bench/grahamvec_parabola/8192",603,1.1657e+06,1.16559e+06,ns,,,,,
"bench/grahamvec_parabola/16384",288,2.45444e+06,2.45423e+06,ns,,,,,
"bench/grahamvec_parabola/32768",100,5.01586e+06,5.01531e+06,ns,,,,,
"bench/grahamvec_parabola/65536",69,1.02405e+07,1.02401e+07,ns,,,,,
"bench/grahamvec_parabola/131072",34,2.05644e+07,2.05612e+07,ns,,,,,
"bench/grahamvec_parabola/262144",16,4.31253e+07,4.30842e+07,ns,,,,,
"bench/grahamvec_parabola/524288",7,9.58548e+07,9.58221e+07,ns,,,,,
