2025-11-17T19:21:29+01:00
Running ./build/bench_opt
Run on (8 X 3799.96 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 1.77, 1.34, 1.21
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/grahamvec_parabola/256",135397,5633.21,5613.62,ns,,,,,
"bench/grahamvec_parabola/512",63010,11156.2,11112.2,ns,,,,,
"bench/grahamvec_parabola/1024",29045,24148.2,24027.6,ns,,,,,
"bench/grahamvec_parabola/2048",8632,79434.6,79057.4,ns,,,,,
"bench/grahamvec_parabola/4096",2992,230364,229752,ns,,,,,
"bench/grahamvec_parabola/8192",1227,569303,566364,ns,,,,,
"bench/grahamvec_parabola/16384",555,1.26891e+06,1.26255e+06,ns,,,,,
"bench/grahamvec_parabola/32768",267,2.65195e+06,2.64359e+06,ns,,,,,
"bench/grahamvec_parabola/65536",124,5.66086e+06,5.6339e+06,ns,,,,,
"bench/grahamvec_parabola/131072",58,1.20847e+07,1.20259e+07,ns,,,,,
"bench/grahamvec_parabola/262144",28,2.51797e+07,2.50977e+07,ns,,,,,
"bench/grahamvec_parabola/524288",13,5.25738e+07,5.22996e+07,ns,,,,,
