2025-11-17T17:25:17+01:00
Running ./build/bench_opt
Run on (8 X 3799.96 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 2.31, 1.75, 1.60
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/marriage_square/256",29805,23145.8,23075.3,ns,,,,,
"bench/marriage_square/512",19947,34213.7,34116.2,ns,,,,,
"bench/marriage_square/1024",10764,66228.2,66010.4,ns,,,,,
"bench/marriage_square/2048",6974,99900.9,99606.3,ns,,,,,
"bench/marriage_square/4096",2279,298151,297277,ns,,,,,
"bench/marriage_square/8192",1414,485018,482293,ns,,,,,
"bench/marriage_square/16384",729,937256,933665,ns,,,,,
"bench/marriage_square/32768",430,1.60269e+06,1.5974e+06,ns,,,,,
"bench/marriage_square/65536",169,4.06127e+06,4.04693e+06,ns,,,,,
"bench/marriage_square/131072",86,8.16863e+06,8.13766e+06,ns,,,,,
"bench/marriage_square/262144",43,1.65234e+07,1.64496e+07,ns,,,,,
"bench/marriage_square/524288",18,3.58511e+07,3.57139e+07,ns,,,,,
