2025-11-17T13:49:47+01:00
Running ./build/bench
Run on (8 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 2.67, 2.32, 2.56
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/quick_circle/256",115411,6051.37,6041.44,ns,,,,,
"bench/quick_circle/512",71704,9513.56,9502.18,ns,,,,,
"bench/quick_circle/1024",40653,16977.2,16961.7,ns,,,,,
"bench/quick_circle/2048",19145,35655.8,35614.2,ns,,,,,
"bench/quick_circle/4096",8521,78500.4,78441.4,ns,,,,,
"bench/quick_circle/8192",3912,177550,177369,ns,,,,,
"bench/quick_circle/16384",1876,369802,369319,ns,,,,,
"bench/quick_circle/32768",918,754922,754302,ns,,,,,
"bench/quick_circle/65536",456,1.53931e+06,1.53773e+06,ns,,,,,
"bench/quick_circle/131072",229,3.05698e+06,3.05194e+06,ns,,,,,
"bench/quick_circle/262144",114,6.06979e+06,6.06422e+06,ns,,,,,
"bench/quick_circle/524288",58,1.20974e+07,1.20923e+07,ns,,,,,
